Start Date,IMMU SS Equity,GLPG US Equity,VASTN NA Equity,EUCMF US Equity,GLPG NA Equity,ZEAL DC Equity,ECMPA NA Equity,WHA NA Equity
2016-02-18,29.4915,44.77,39.25,40.5333,40.83,117,36.3837,45.495
2016-02-19,28.4125,44.18,39.35,40.5333,39.775,112.5,36.4263,45.875
2016-02-22,28.0528,43.3,39.615,40.5333,40.185,125.5,36.8952,46.4
2016-02-23,28.0528,40.96,39.21,40.5333,37.67,123,36.4926,45.955
2016-02-24,28.5923,41.26,39,40.5333,36.595,119,35.8816,45.64
2016-02-25,27.873,41.54,39.275,40.5333,37.545,120.5,36.1895,45.81
2016-02-26,27.4235,42.18,39.115,40.5333,38.495,121.5,36.4026,46.52
2016-02-29,26.9739,41.03,39.4,40.5333,38.655,120,36.5068,46.73
2016-03-01,27.4235,43.95,39.8,40.5333,40,121.5,36.7152,47.295
2016-03-02,29.1318,43.56,39.8,40.5333,39.85,119.5,37.2316,47.32
2016-03-03,28.7722,43.6,39.96,40.5333,40.07,114,36.9805,47.105
2016-03-04,29.6713,44.56,39.865,40.5333,40.5,114,36.9852,47.64
2016-03-07,32.5485,44.73,39.69,40.5333,40.37,114.5,37.1463,47.36
2016-03-08,32.1888,43.71,39.565,40.5333,39.8,114.5,36.3789,46.615
2016-03-09,31.3796,44.17,39.45,40.5333,40.035,114.5,36.6158,46.5
2016-03-10,30.6603,44.84,39.155,40.5333,39.925,115,36.6205,46.185
2016-03-11,30.1208,44.84,39.125,40.5333,40.24,116.5,37.0326,46.74
2016-03-14,28.7722,44.58,40.22,40.5333,40.475,117,38.2452,48.47
2016-03-15,29.8511,42.71,39.95,40.5333,38.95,116.5,37.9895,48.785
2016-03-16,28.7722,42.95,39.73,40.5333,38.6,117,38.3352,49.42
2016-03-17,28.4125,41.98,39.55,40.5333,37.07,117.5,38.6431,49.57
2016-03-18,27.873,41.94,39.6,40.5333,36.875,117.5,38.6621,49.56
2016-03-21,27.6932,42.35,39.55,40.5333,37.16,122,38.4537,49.495
2016-03-22,27.6932,42.64,38.91,40.5333,37.955,127,38.5531,49.35
2016-03-23,27.873,42.26,38.825,40.5333,38.235,131.5,39.0552,49.245
2016-03-24,27.873,41.12,38.1,40.5333,37.315,131.5,38.5389,48.345
2016-03-25,27.873,41.12,38.1,40.5333,37.315,131.5,38.5389,48.345
2016-03-28,27.873,41.13,38.1,40.5333,37.315,131.5,38.5389,48.345
2016-03-29,27.3335,42.3,39.315,40.5333,37,133,39.1831,49.495
2016-03-30,26.884,42.33,39.445,40.5333,37.275,135,39.3158,49.655
2016-03-31,28.0528,41.82,39.335,40.5333,36.99,135,38.9652,49.15
2016-04-01,29.0419,42.18,39.31,40.5333,36.64,131,39.221,48.39
2016-04-04,27.1537,42.75,39.215,40.5333,37.79,129.5,38.8989,48.095
2016-04-05,27.873,42.08,38.85,40.5333,37.25,129.5,39.2684,47.5
2016-04-06,27.9629,44.75,39.6,40.5333,38.98,135,39.4058,48.02
2016-04-07,27.6932,43.95,39.4,40.5333,38.77,135.5,38.9131,47.695
2016-04-08,27.0638,44.7,39.885,40.5333,39.16,138.5,39.5337,48.285
2016-04-11,27.3335,43.65,40.455,40.5333,38.77,138.5,39.6995,48.67
2016-04-12,26.9739,43.65,40.26,40.5333,38.33,139,39.4342,48.33
2016-04-13,27.3335,43.4,41.095,40.5333,38.46,138.5,40.0784,49.415
2016-04-14,26.9739,43.64,41,40.5333,38.95,136.5,39.941,49.43
2016-04-15,26.6142,44.1,41.025,40.5333,38.89,134.5,39.7042,49.07
2016-04-18,29.3116,44.74,40.44,40.5333,39.55,140,39.2731,48.69
2016-04-19,29.8511,44.2,39.94,40.5333,39.21,140,39.3821,48.63
2016-04-20,30.5704,43.7,40.15,40.5333,38.5,138,39.15,47.385
2016-04-21,29.941,44.01,39.86,40.5333,38.83,138,38.8468,46.64
2016-04-22,29.4915,45.55,38.53,40.5333,39.85,138,38.2784,46.645
2016-04-25,24.1866,45.77,38.4,40.5333,40.5,137.5,38.4631,46.53
2016-04-26,24.4563,45.21,38.48,40.5333,40.3,133,38.6337,45.595
2016-04-27,24.4563,45.07,38.88,40.5333,40.02,130,38.79,45.14
2016-04-28,24.6362,44.73,38.78,40.5333,39.7,131,38.8752,45.18
2016-04-29,23.737,45.31,38.45,40.5333,39.69,129,38.6716,44.99
2016-05-02,26.7941,50.35,38.485,40.5333,43.2,127,38.9084,45.59
2016-05-03,27.3335,48.81,38.12,40.5333,42.715,122.5,39.1121,44.765
2016-05-04,27.0638,47.15,38.155,40.5333,41.315,123,39.24,44.69
2016-05-05,27.0638,45.84,38.74,40.5333,40.15,123,39.3726,44.745
2016-05-06,27.6033,45.84,39.015,40.5333,40,123,39.3963,45.05
2016-05-09,25.8949,47.74,39.49,40.5333,41.61,121,39.4626,45.32
2016-05-10,25.7151,48.83,39.095,40.5333,42.59,118,39.3774,45.59
2016-05-11,24.6362,49.28,38.63,40.5333,43.49,117.5,39.0789,44.68
2016-05-12,23.4673,49.23,38.265,40.5333,43.565,119,38.4584,44.605
2016-05-13,24.7261,49.87,38.645,40.5333,44.745,119.5,39.2826,44.49
2016-05-16,23.8269,51.33,38.76,40.5333,44.72,119.5,39.15,44.25
2016-05-17,23.3774,51.68,39.2,40.5333,45.3,126,39.24,44.7
2016-05-18,23.8269,51.22,39.765,40.5333,45.85,120,38.8374,44.39
2016-05-19,23.2875,51.66,39.525,40.5333,45.41,120,38.4158,43.78
2016-05-20,23.2875,54.03,39.09,40.5333,47.78,111,38.9416,44.3
2016-05-23,24.0967,56.94,39.505,40.5333,51.25,113.5,39.221,43.975
2016-05-24,24.3391,56.88,40.5,40.5333,50.94,117.5,39.491,44.915
2016-05-25,24.8054,57.76,40.45,40.5333,52.23,130.5,39.7468,45.005
2016-05-26,24.2459,57.6,40.055,40.5333,52,127,39.941,45.635
2016-05-27,24.6189,58.52,40.29,40.5333,51.86,125,40.6184,46.17
2016-05-30,24.7122,58.52,40.15,40.5333,51.6,126.5,40.1826,46.13
2016-05-31,25.4582,58.07,39.73,40.5333,51.78,124,40.0547,45.765
2016-06-01,26.9502,57.36,39.5,40.5333,51.17,119,39.9789,45.495
2016-06-02,25.2717,57.5,39.5,40.5333,50.65,118,39.78,45.47
2016-06-03,24.7122,60.01,39.5,40.5333,52.27,117,39.851,45.755
2016-06-06,24.7122,59,39.7,40.5333,51.22,114,40.0263,46.01
2016-06-07,24.2459,57.4,39.865,40.5333,51,118.5,39.941,46.095
