Start Date,MEURVDD LX Equity,FFSOUYE LX Equity,RUSLCEX NA Equity,FSGLEVI ID Equity,MEREUDE LX Equity,FIEMYAE LX Equity,UBLCOUQ LX Equity,MORIUSE LX Equity,TRPGEMQ LX Equity,ITV LN Equity,LANSNA 0 10/25/2022 Corp,ACMBEVI LX Equity,MONESEU ID Equity,RRTL GY Equity,LGF/A US Equity,RSSEEFE LX Equity,INRG LN Equity,COMGREA ID Equity,VHYD LN Equity,CIT IM Equity,TCMAF NA Equity,FLEINDI LX Equity
2015-07-06,69.760002,12.82,,,123.949997,11.54,116.3,75.94,9.65,262.8,,17.58,4.757,81.25,36.85,12.18,401.5,20.12,50.815,,15.55,91.04
2015-07-07,69.269997,12.61,,,123.019997,11.37,111.58,75.61,9.49,257.1,,17.31,4.709,80.58,36.58,12.26,387.05,19.89,49.845,,15.76,91.23
2015-07-08,68.349998,12.14,,,121.419998,11.19,105.39,75.27,9.3,259,,17.34,4.641,80.76,36.02,11.84,390.5,19.92,50.03,,15.73,89.19
2015-07-09,70.019997,12.55,,,124.629997,11.48,113.67,75.92,9.49,265.6,,17.7,4.715,82.95,36.33,11.88,402.75,20.33,50.495,,15.28,89.22
2015-07-10,71.169998,12.61,,,127.150002,11.47,117.55,76.01,9.58,272.3,,18.07,4.772,85.35,36.71,11.93,410.8,20.75,51.275,,15.17,89.42
2015-07-13,72.669998,12.94,,,130,11.8,120.09,77.39,9.69,276.2,,18.41,4.911,87,37.21,12.24,415.05,21.12,51.66,,15.49,90.33
2015-07-14,72.790001,12.86,,,130.179993,11.8,119.2,77.9,9.68,275.4,,18.49,4.905,86.6,37.4,12.35,415.55,21.25,51.855,,15.39,90.59
2015-07-15,73.519997,12.88,,,131.470001,11.88,117.12,78.39,9.68,274.7,,18.59,4.935,87.26,37.29,12.37,407.75,21.35,51.8,,15.61,91.5
2015-07-16,74.660004,13.05,,,133.289993,11.99,118.25,78.56,9.73,277.4,,18.83,5.001,87.63,37.71,12.36,410,21.61,52.13,,15.68,92.45
2015-07-17,74.760002,13.22,,,133.490005,12.11,120.59,80.15,9.76,275.6,,18.83,5.031,86.35,37.85,12.37,406.45,21.64,51.86,,15.8,92.6
2015-07-20,75.110001,13.14,,,134.169998,12.08,120.78,80.96,9.68,275.5,,18.9,5.069,86.48,37.89,12.29,409.7,21.75,51.93,,15.56,92.4
2015-07-21,74.620003,13.01,,,133.130005,12.03,121.33,81.14,9.75,274.3,,18.69,5.024,85.35,37.29,12.21,409.45,21.53,51.805,,15.91,91.56
2015-07-22,74.18,12.99,,,132.229996,11.95,120.25,80.77,9.68,270.3,,18.59,5.018,85.13,37.52,12.08,404.75,21.41,51.44,,15.53,92.64
2015-07-23,73.389999,12.88,,,130.970001,11.84,121.8,80.8,9.62,269.3,,18.5,4.985,84.7,38.48,12.06,403.6,21.4,51.335,,15.85,92.17
2015-07-24,73.510002,12.73,,,130.839996,11.55,120.73,82.11,9.46,269.1,,18.38,4.969,83.83,38.02,11.91,400.75,21.32,50.835,,15.77,91.29
2015-07-27,71.730003,12.24,,,127.269997,11.32,115.39,80.46,9.26,263.7,,17.96,4.875,81.08,37.18,11.63,392.1,20.89,50.36,,15.68,89.5
2015-07-28,72.139999,12.36,,,128.289993,11.32,114.13,79.96,9.24,270.2,,18.14,4.9,82.45,38.51,11.79,393.45,21.03,50.6,,15.23,89.85
2015-07-29,72.870003,12.48,,,129.729996,11.49,114.8,80.07,9.28,276.2,,18.37,4.95,83.23,38.53,11.97,401.3,21.25,51.075,,15.48,90.52
2015-07-30,73.260002,12.46,,,129.899994,11.49,114.3,79.73,9.23,271.6,,18.52,4.981,82.36,39.02,12.05,394,21.29,51.025,,15.25,90.41
2015-07-31,73.080002,12.42,,,129.759995,11.46,114.49,80.31,9.31,280.7,,18.55,4.965,82.84,39.18,11.94,396.15,21.36,51.43,,15.16,90.69
2015-08-03,73.879997,12.36,,,131.619995,11.41,113.28,80.15,9.23,279.7,,18.65,4.965,83.81,38.91,11.92,394.05,21.36,51.095,,14.98,90.97
2015-08-04,73.849998,12.4,,,131.080002,11.58,113.57,79.51,9.25,278.7,,18.61,5.022,84.01,38.78,11.85,392.8,21.57,51.095,,15.25,91.05
2015-08-05,74.629997,12.59,,,132.339996,11.65,113.92,80.47,9.3,276.1,,18.84,5.06,84.95,37.42,12.14,399.35,21.77,51.315,,15.38,91.83
2015-08-06,74.300003,12.39,,,131.75,11.58,113.63,79.68,9.2,271.9,,18.74,5.021,83.69,35.34,11.99,393.3,21.59,50.88,,15.08,92.23
2015-08-07,73.889999,12.37,,,130.949997,11.56,114.5,78.24,9.19,262.6,,18.56,4.975,81.31,37.61,11.84,391.2,21.35,50.655,,15.06,91.79
2015-08-10,73.809998,12.43,,,130.860001,11.59,115.6,78.62,9.2,263.3,,18.66,4.993,81.32,38.31,11.98,393.65,21.51,51.235,,14.99,91.58
2015-08-11,73.110001,12.14,,,129.639999,11.46,114.77,78.4,9.13,258.4,,18.38,4.953,79.41,37.99,11.67,385.7,21.19,50.605,,15.24,90.89
2015-08-12,71.169998,11.72,,,126.080002,11.06,111.61,77.19,8.94,254.4,,17.91,4.844,77.08,37.84,11.44,376.9,20.56,50.13,,14.83,89.04
2015-08-13,72.099998,11.86,,,127.739998,11.16,112.49,78.08,8.97,258.9,,18.11,4.92,77.67,38.99,11.53,384.9,20.83,50.43,,14.93,88.61
2015-08-14,72.019997,11.94,,,127.349998,11.18,112.48,78.14,9,260.9,,18.12,4.955,77.28,39.3,11.58,385.05,20.86,50.36,,14.6,90.51
2015-08-17,71.900002,11.83,,,127.029999,11.15,111.75,78.04,8.88,259.5,,18.18,4.957,77,39.2,11.65,385.25,20.95,50.4,,14.51,89.67
2015-08-18,72.540001,11.75,,,128.259995,11.21,109.92,78.57,8.83,259.4,,18.23,4.99,77.27,39.15,11.58,382.7,21.07,50.235,,14.61,89.97
2015-08-19,71.629997,11.56,,,126.599998,11.04,108.59,77.64,8.78,256.7,,17.93,4.935,76.34,39.01,11.31,373.85,20.77,49.56,,14.27,90.62
2015-08-20,70.019997,11.25,,,123.57,10.79,105.27,77.1,8.64,254,,17.56,4.821,75.67,37.45,10.83,361.55,20.36,49.24,,14.12,88.92
2015-08-21,68.43,10.83,,,120.559998,10.43,102.89,74.6,8.47,247.1,,16.97,4.717,73.87,36.75,10.44,350,19.73,48.23,,13.94,86.93
2015-08-24,62.91,10.07,,,110.510002,9.802,97.4,69.66,7.91,238.2,,16.11,4.473,72.4,35.47,9.95,331,18.9,46.015,,13.7,79.32
2015-08-25,66.360001,10.63,,,117.059998,10.35,99.32,72.56,8.29,248.3,,16.81,4.617,75.36,35.89,10.15,349.05,19.6,47.27,,13.33,82.69
2015-08-26,66.400002,10.46,,,116.970001,10.25,98.63,72.01,8.19,244.4,,16.54,4.579,76.83,36.58,10.33,344.05,19.27,46.305,,13.31,81.5
2015-08-27,67.790001,11.04,,,119.190002,10.53,102.76,74.85,8.47,250,,17.1,4.69,77.54,37.41,10.79,364.15,19.77,47.87,,13.35,83.63
2015-08-28,68,11.09,,,119.559998,10.65,102.62,75.74,8.51,250.2,,17.16,4.684,77.56,37.23,10.93,368.95,19.78,48.06,,13.83,83.59
2015-08-31,68.07,11.01,,,119.760002,10.74,102.14,75.33,8.45,250.2,,17.12,4.684,77.63,36.69,10.88,368.95,19.74,48.06,,13.81,82.84
2015-09-01,66.110001,10.72,,,116.230003,10.38,99.74,73.71,8.3,239,,16.67,4.644,77,36.2,10.55,352.85,19.32,46.575,,14.02,81.3
2015-09-02,66.739998,10.69,,,117.519997,10.33,98.93,73.19,8.26,245.1,,16.7,4.671,77.53,37.05,10.63,350.8,19.37,46.48,,14.38,81.3
2015-09-03,67.93,10.99,,,119.660004,10.64,98.93,74.62,8.32,246.1,,17.12,4.781,78.98,37.83,10.87,358.85,19.78,47.24,,14.35,82.81
2015-09-04,66.599998,10.74,,,117.160004,10.36,98.35,73.18,8.17,243.3,,16.71,4.685,77.61,37.67,10.72,352.1,19.34,46.1,,14.45,80.31
2015-09-07,66.839996,10.61,,,117.489998,10.17,98.06,73.26,8.05,245.7,,16.71,4.701,78.59,37.67,10.65,351.85,19.4,46.345,,14.34,78.79
2015-09-08,68.050003,10.83,,,119.519997,10.38,101.03,74.49,8.2,247.2,,16.99,4.758,77.7,38.9,10.87,356.45,19.53,46.98,,14.22,80.24
2015-09-09,69.269997,11.11,,,121.68,10.46,104.05,75.43,8.38,250.9,,17.19,4.795,79.16,38.33,10.89,358.5,19.75,47.46,,14.59,81.95
2015-09-10,68.010002,10.92,,,119.110001,10.41,102.41,74.27,8.24,251.2,,17.01,4.791,78.6,38.26,10.79,357.2,19.6,47.025,,14.11,82.08
2015-09-11,67.470001,10.83,,,118,10.31,102.26,74.56,8.24,247.6,,16.82,4.742,78.03,38.34,10.71,354.65,19.46,46.88,,14.34,81.85
