Date,BA.L,CCH.L,ANTO.L,MGGT.L,RR.L,SSE.L,SMIN.L,SPX.L,PSN.L,AHT.L,ABF.L,VOD.L,RMV.L,SDR.L,PRU.L,SMT.L,ENT.L,ABDN.L,STJ.L
2016-02-03,362.08819580078125,1156.822265625,301.2923889160156,290.393798828125,156.4427947998047,955.1895141601562,739.0934448242188,2629.81298828125,1154.588623046875,801.273681640625,2928.71142578125,143.50543212890625,364.11383056640625,1991.9896240234375,866.8356323242188,227.29757690429688,427.0500793457031,254.41737365722656,670.3348999023438
2016-02-04,364.6941833496094,1092.370849609375,345.17071533203125,290.7264709472656,159.4923858642578,958.591064453125,764.52197265625,2640.73974609375,1152.8924560546875,820.4385986328125,2906.46044921875,141.71917724609375,354.2229919433594,2032.75439453125,885.779052734375,228.22323608398438,418.2492370605469,261.8763427734375,664.0110473632812
2016-02-05,356.65277099609375,1084.93408203125,358.00531005859375,306.0278015136719,161.32211303710938,947.0253295898438,781.6131591796875,2643.471923828125,1111.0511474609375,817.70068359375,2871.230712890625,139.5285186767578,339.15557861328125,1994.3416748046875,861.5736083984375,221.2039337158203,412.3819885253906,261.06402587890625,649.1312866210938
2016-02-08,348.0901184082031,1045.2716064453125,363.70068359375,295.38336181640625,157.05274963378906,926.615234375,756.6016845703125,2510.524169921875,1051.116943359375,755.6430053710938,2823.021728515625,134.9449920654297,312.0711669921875,1885.3740234375,814.9166259765625,215.96841430664062,402.323974609375,254.7128143310547,618.255615234375
2016-02-09,349.8771667480469,1055.1871337890625,329.60870361328125,291.8906555175781,156.29029846191406,916.410400390625,749.09814453125,2526.91552734375,1061.8597412109375,752.9051513671875,2817.45947265625,135.5853271484375,319.5586853027344,1854.8006591796875,790.0095825195312,214.01112365722656,382.20770263671875,249.1739959716797,603.747802734375
2016-02-10,350.323974609375,1078.3236083984375,319.5816650390625,294.4686584472656,161.0172119140625,918.4514770507812,762.4375,2515.98779296875,1081.083984375,728.7210083007812,2819.31298828125,136.2256622314453,317.80224609375,1913.595703125,824.7391357421875,215.65020751953125,387.0272521972656,254.6389617919922,627.927490234375
2016-02-11,342.2824401855469,1058.492431640625,312.44244384765625,290.2275085449219,161.62709045410156,898.7216186523438,733.67431640625,2481.38525390625,1058.46728515625,701.798828125,2781.30224609375,135.21458435058594,312.25604248046875,1835.9853515625,762.6469116210938,213.22044372558594,372.1496276855469,239.79486083984375,595.9359130859375
2016-02-12,347.7923278808594,1076.6710205078125,347.5771789550781,306.9425964355469,184.80380249023438,915.7298583984375,763.6882934570312,2560.607666015625,1071.4720458984375,734.6528930664062,2829.510986328125,138.48373413085938,312.44091796875,1868.1270751953125,812.1103515625,216.720458984375,374.45465087890625,246.2199249267578,617.5117797851562
2016-02-15,358.6631774902344,1103.93896484375,355.19775390625,316.5059509277344,187.54843139648438,930.01708984375,787.0323486328125,2654.39892578125,1090.130615234375,749.7110595703125,2891.627197265625,141.179931640625,321.9620666503906,1899.4849853515625,837.718994140625,219.3623046875,383.2554626464844,252.86648559570312,636.111328125
2016-02-16,363.3539733886719,1110.549560546875,353.4329833984375,315.923828125,192.5802459716797,923.89404296875,788.2830200195312,2667.147705078125,1103.700927734375,762.9439697265625,2923.1484375,142.2247314453125,325.567138671875,1872.8310546875,830.35205078125,225.10885620117188,374.45465087890625,252.27574157714844,639.831298828125
